"","X","number","variety","inoculant","salt","replicate","trial","shoots","total_abund","tot_mf","tot_16s","tot_its","tot_oom","rel_amf","rel_16s","rel_its","rel_oom","shoot_score","Microbial_Abundance_Score","bfr","log_bfr","log_tot_fun","all_bfr","log_all_bfr","FB","amfb","itsb","log_amf","log_its","log_16s","log_shoots","log_oom","amfoom"
"47",49,210,"A","DEL NS","6 dS/m",5,2,1.7636,38255.38,11552.49,34848.4,9200.25,78.44,30.19834073,45.54705769,24.04955852,0.205043055,0.31886888,0.737864629,3.787766637,0.578383214,26.6633735692057,1.67921922599136,0.74779058977725,0.595514858644873,0.331507041930189,0.264007816714684,9.35465627713054,9.12698593658097,10.4587625040874,0.567357174501646,4.36233400132815,0.00678987819941848
"48",50,212,"A","DEL NS","12 dS/m",2,2,0.6688,20610.6,1125.38,31445.34,3741.43,21.12,5.460200091,76.28438765,18.15294072,0.102471544,0.120922832,0.390853301,8.404631384,0.924518671,22.005570582184,6.46118093782169,2.69179787659569,0.154770468374646,0.0357884506893549,0.118982017685291,7.02587603538223,8.2272231702715,10.356006079449,-0.402270217211645,3.05022045883806,0.0187669942597167
"49",51,213,"A","DEL NS","12 dS/m",3,2,1.0645,9648.47,1549.21,16008.82,36.22,58.63,16.05653539,82.96040719,0.375396306,0.607661111,0.192467636,0.175266408,441.9884042,2.645410876,15.7760316448028,10.097462518055,3.33592088563086,0.0990347820763804,0.0967722792810463,0.00226250279533407,7.34550040256425,3.58961145245527,9.68089509933945,0.0625052053513971,4.07124651097612,0.0378450952420911
"50",52,214,"A","DEL NS","12 dS/m",4,2,0.8021,20473.22,3543.96,28470.18,2564.32,129.85,17.31022282,69.53029372,12.52524029,0.634243172,0.145024228,0.388151515,11.10242871,1.045417993,23.1155071961505,4.66091600254081,2.22061351334676,0.2145501011936,0.124479718779439,0.0900703824141611,8.17300002497956,7.84944861524527,10.2566125026968,-0.220521990609258,4.86637993810876,0.0366398040609939
"51",56,301,"M","NOK NS","0 dS/m",1,2,4.4204,22395.53,2557.22,36077.6,1704.56,94.95,11.4184393,80.54643047,7.611161692,0.423968533,0.799233384,0.425956653,21.16534472,1.325625346,22.0555442344344,8.46538300897747,3.08157534309458,0.118128145996408,0.0708811007384083,0.0472470452579994,7.84667600991627,7.44106229189711,10.4934274531171,1.48623018973249,4.5533504372583,0.0371301647883248
"52",57,302,"M","NOK NS","0 dS/m",2,2,2.8163,4565.64,271.05,8463.88,55.23,7.42,5.936736142,92.69105755,1.209688017,0.162518289,0.509203009,0.075304856,153.2478725,2.185394454,13.8697954189947,25.9405418658821,4.69713671090935,0.0385496958841572,0.0320243198154983,0.00652537606865882,5.60230330570635,4.0115062839131,9.04356297630381,1.03542396671235,2.00417905717929,0.0273750230584763
"53",58,304,"M","NOK NS","0 dS/m",4,2,4.089,25627.07,1949.65,33964.06,6611.76,83.63,7.607775684,66.26598359,25.79990611,0.326334614,0.739314385,0.489509783,5.136916645,0.710702519,23.6198180820475,3.96711055772355,1.98808860390037,0.252072632070489,0.0574033257508084,0.19466930631968,7.57540514826855,8.79660516064149,10.4330581856941,1.40830044138251,4.42640230739343,0.0428948785679481
"54",59,306,"M","NOK NS","6 dS/m",1,2,2.7669,21662.34,4499.75,33697.58,204.58,109.22,20.77222498,77.77917806,0.944403975,0.504192991,0.500271209,0.411537361,164.7159058,2.216735539,19.81215043621,7.16309867717613,2.84058381641734,0.139604387021264,0.133533327912568,0.00607105910869564,8.41177711865959,5.32095909702886,10.425181303673,1.01772755992765,4.69336419672401,0.0242724595810878
"55",60,307,"M","NOK NS","6 dS/m",2,2,3.1492,22888.15,4447.09,36308.9,163.79,122.82,19.4296612,79.31811876,0.71561048,0.536609556,0.569393216,0.435644772,221.6795897,2.345725709,19.4743493542866,7.87461395655493,2.97720919885036,0.126990352227691,0.122479337022052,0.00451101520563829,8.40000522866884,5.09858511949429,10.4998181692648,1.14714845232817,4.81071986890125,0.0276180603495769
"56",61,309,"M","NOK NS","6 dS/m",4,2,1.2862,18248.85,1273.06,28559.94,2653.96,41.86,6.976110823,78.25134187,14.54316299,0.229384317,0.232552253,0.344405909,10.76125488,1.031862918,21.6880156119922,7.27267495454569,2.86248609782533,0.137500989147736,0.0445750236169964,0.0929259655307399,7.14917873020396,7.88380814318852,10.259760315611,0.251692134718626,3.73433071701785,0.0328814038615619
