number,variety,inoculant,salt,replicate,trial,shoots,total_abund,tot_mf,tot_16s,tot_its,tot_oom,rel_amf,rel_16s,rel_its,rel_oom,shoot_score,Microbial_Abundance_Score
116,A,SC S,S5,1,2,0.2466,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04458667823822955,NA
117,A,SC S,S5,2,2,0.4942,18103.83,1717.28,11879.02,4502.24,5.29,9.485727605705533,65.616060248024866,24.868991810020308,0.029220336249290893,0.0893541621465249,NA
118,A,SC S,S5,3,2,0.2562,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04632241267086135,NA
119,A,SC S,S5,4,2,0.2191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03961452231141968,NA
123,A,SC NS,S1,3,2,4.0285,20520.64,2842.65,15820.32,1765.82,91.85,13.852638124347,77.094671511219929,8.605092238838555,0.44759812559452333,0.7283756418601287,NA
124,A,SC NS,S1,4,2,3.3066,26357.1,2777.66,22974.09,522.89,82.46,10.53856456135159,87.164710836928194,1.9838677244461644,0.31285687727405515,0.5978520286396182,NA
125,A,SC NS,S1,5,2,3.6657,28033.47,7521.71,19249.45,1017.9,244.41,26.83117716072966,68.665955374058214,3.631016781012126,0.8718506841999938,0.6627793447602517,NA
126,A,SC NS,S3,1,2,2.9058,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5253851160772401,NA
127,A,SC NS,S3,2,2,3.1616,26816.98,10086.94,15997.45,531.79,200.8,37.61400426147911,59.654181790790759,1.9830346295518733,0.7487793181782587,0.5716352064800752,NA
128,A,SC NS,S3,3,2,2.8827,16043.86,2418.07,13421.11,147.92,56.76,15.07162241505473,83.652624742424834,0.9219726424937638,0.3537802000266768,0.5212085050987199,NA
129,A,SC NS,S3,4,2,3.4984,30839.200000000004,11473.65,17875.54,930.56,559.45,37.20475887831072,57.963695556304963,3.0174582998261945,1.8140872655581206,0.6325305561582412,NA
130,A,SC NS,S3,5,2,2.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38457366022998474,NA
131,A,SC NS,S4,1,2,0.6724,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12157373255225283,NA
132,A,SC NS,S4,2,2,0.4234,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07655312070586533,NA
133,A,SC NS,S4,3,2,0.9006,18372.969999999994,1835.69,16420.599999999999,54.92,61.76,9.991253455483793,89.373683187856969,0.2989173769945742,0.33614597966469234,0.1628335864612714,NA
134,A,SC NS,S4,4,2,0.9091,3784.52,459,3241.92,68.1,15.5,12.12835445446186,85.662646782154667,1.7994355955312693,0.4095631678521979,0.16437043465683085,NA
135,A,SC NS,S4,5,2,0.7104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12844434801475374,NA
136,A,SC NS,S5,1,2,0.1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03395530483835973,NA
137,A,SC NS,S5,2,2,0.1681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030393433138063208,NA
138,A,SC NS,S5,3,2,0.2811,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05082447385550011,NA
139,A,SC NS,S5,4,2,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03561871700296521,NA
140,A,SC NS,S5,5,2,0.3549,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06416793230635713,NA
141,A,BTN S,S1,1,2,1.8481,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3341469588486295,NA
142,A,BTN S,S1,2,2,2.7504,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49728791494901275,NA
143,A,BTN S,S1,3,2,3.4508,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6239242062631084,NA
144,A,BTN S,S1,4,2,3.7206,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6727055760468649,NA
145,A,BTN S,S1,5,2,4.6767,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8455738771967889,NA
146,A,BTN S,S3,1,2,3.0477,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551041440659579,NA
147,A,BTN S,S3,2,2,2.3859,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43138424821002386,NA
148,A,BTN S,S3,3,2,2.9263,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5290916323135894,NA
149,A,BTN S,S3,4,2,2.4452,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4421060244449265,NA
150,A,BTN S,S3,5,2,1.9934,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36041802270919215,NA
151,A,BTN S,S4,1,2,0.7816,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14131771172343963,NA
152,A,BTN S,S4,2,2,0.7135,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12900484559195777,NA
153,A,BTN S,S4,3,2,1.1491,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20776379547262602,NA
154,A,BTN S,S4,4,2,0.7506,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13571273595139943,NA
155,A,BTN S,S4,5,2,0.6909,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12491863744847037,NA
156,A,BTN S,S5,1,2,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057315397410862806,NA
157,A,BTN S,S5,2,2,0.1441,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02605409705648369,NA
158,A,BTN S,S5,3,2,0.2799,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05060750705142113,NA
159,A,BTN S,S5,4,2,0.3012,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05445866782382296,NA
160,A,BTN S,S5,5,2,0.2737,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049486511897013086,NA
161,A,BTN NS,S1,1,2,3.4095,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6164569320893903,NA
162,A,BTN NS,S1,2,2,2.7983,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5059485065451652,NA
163,A,BTN NS,S1,3,2,4.015,20243.77,3966.48,12156.69,4096.47,24.13,19.59358360621564,60.05151214423006,20.235707084204176,0.11919716535012993,0.7259347653142402,NA
164,A,BTN NS,S1,4,2,3.0793,23611.23,7122.6,14496.46,815.99,1176.18,30.16615398689522,61.396462615458823,3.455940245383235,4.981443152262717,0.5567548998336588,NA
165,A,BTN NS,S1,5,2,3.5215,22321.59,5553.18,16152.82,483.33,132.26,24.878066481823204,72.364110262754579,2.1653027405305805,0.5925205148916363,0.6367071671367615,NA
166,A,BTN NS,S3,1,2,2.9059,24601.960000000003,8867.59,14950.54,543.99,239.84,36.044242003482644,60.769711031153619,2.211165289269635,0.9748816760940996,0.5254031966442467,NA
167,A,BTN NS,S3,2,2,2.9712,15916.279999999999,3021.91,12502.53,314.71,77.13,18.9862832269852,78.551834976514627,1.9772836366286592,0.48459815987152777,0.5372098068995443,NA
168,A,BTN NS,S3,3,2,2.6037,15745.19,1288.77,14249.87,148.4,58.15,8.18516639049767,90.503004409600649,0.9425100618030015,0.36931913809868283,0.47076372315035797,NA
169,A,BTN NS,S3,4,2,2.2731,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4109893686266001,NA
170,A,BTN NS,S3,5,2,1.8345,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33168800173573443,NA
171,A,BTN NS,S4,1,2,1.0842,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19602950748535475,NA
172,A,BTN NS,S4,2,2,0.3719,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06724162869747595,NA
173,A,BTN NS,S4,3,2,0.5598,19989.82,4872.01,14188.07,701.96,227.78,24.372455579890165,70.976477026806634,3.511587397985575,1.1394799953176167,0.10121501410284225,NA
174,A,BTN NS,S4,4,2,0.5337,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09649598611412452,NA
175,A,BTN NS,S4,5,2,0.3488,20966.94,3798.68,16838.04,184.62,145.6,18.11747446217712,80.307569917212547,0.8805290614653355,0.6944265591450159,0.06306501771895566,NA
176,A,BTN NS,S5,1,2,0.3537,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06395096550227815,NA
177,A,BTN NS,S5,2,2,0.1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024499168293917697,NA
178,A,BTN NS,S5,3,2,0.1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03458812468359008,NA
179,A,BTN NS,S5,4,2,0.3741,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06763940117162073,NA
180,A,BTN NS,S5,5,2,0.2891,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05227091921602662,NA
181,A,DEL S,S1,1,2,3.7337,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675074130324727,NA
182,A,DEL S,S1,2,2,3.3805,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6112135676574817,NA
183,A,DEL S,S1,3,2,4.2387,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7663809937079626,NA
184,A,DEL S,S1,4,2,4.0617,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7343783901063138,NA
185,A,DEL S,S1,5,2,3.6188,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654299558834165,NA
186,A,DEL S,S3,1,2,3.1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5626130035437911,NA
187,A,DEL S,S3,2,2,2.0378,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3684457944601142,NA
188,A,DEL S,S3,3,2,2.6101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4719208794387792,NA
189,A,DEL S,S3,4,2,2.5147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45467201851450056,NA
190,A,DEL S,S3,5,2,2.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387285745280972,NA
191,A,DEL S,S4,1,2,0.40786,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0737434005930426,NA
192,A,DEL S,S4,2,2,1.0049,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18169161784913573,NA
193,A,DEL S,S4,3,2,0.5573,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10076299992767773,NA
194,A,DEL S,S4,4,2,0.7032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1271425471902799,NA
195,A,DEL S,S4,5,2,0.6786,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12269472770666087,NA
196,A,DEL S,S5,1,2,0.2248,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04064511463079482,NA
197,A,DEL S,S5,2,2,0.4602,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08320676936428727,NA
198,A,DEL S,S5,3,2,0.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036576987054314024,NA
199,A,DEL S,S5,4,2,0.3704,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06697042019237723,NA
200,A,DEL S,S5,5,2,0.2551,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04612352643378896,NA
201,A,DEL NS,S1,1,2,3.3919,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.613274752296232,NA
202,A,DEL NS,S1,2,2,2.5613,22379.98,6228.98,14447.05,1601.73,102.22,27.832822013245767,64.553453577706506,7.156976905251926,0.4567475037958032,0.46309756273956754,NA
203,A,DEL NS,S1,3,2,3.3778,12444.29,2947.58,8511.7900000000009,914.91,70.01,23.686204677004472,68.399161382449307,7.35204660129264,0.5625873392535854,0.610725392348304,NA
204,A,DEL NS,S1,4,2,3.2706,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5913430245172488,NA
205,A,DEL NS,S1,5,2,3.4438,15629.630000000001,4295.52,10468.93,814.11,51.07,27.483184182862935,66.981304099969094,5.2087605400767645,0.3267511770912043,0.6226585665726477,NA
